Country name,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Afghanistan,0.0,0.0,0.0,0.0,0.0,200.0,4800.0,69169.9,26353.8,53597.2,572076.1,1580831.0,2932568.5
Africa,0.0,3200.0,0.0,763.0,0.0,13427.8,1073847.5,2838339.0,9310096.0,10611532.0,14809524.0,16863440.0,48163840.0
Albania,0.0,0.0,0.0,304.8,11.0,0.0,28.8,35.0,321280.6,4860.0,60185.9,52042.7,21.0
Algeria,0.0,0.0,0.0,0.0,0.0,13425.0,36236.4,19600.0,98105.1,6818.7,41138.1,28653.9,16804.25
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2556.3,0.0,0.0
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258000.0,10500.0,84115.9,360003.4,429575.75
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,15.0,0.0,1500.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8303.0,1168.4,2580.0,680.0,0.0
Argentina,0.0,0.0,0.0,0.0,15500.0,0.0,33200.0,16460.0,1240400.4,57127.4,75655.8,80094.3,42111.5
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2214.4,29700.0,9835.0,5209.0
Asia,10181.3,371104.0,2155599.2,1476076.1,312952.9,1872982.4,17351006.0,47679096.0,107602390.0,183150720.0,204425400.0,138356800.0,58851036.0
Australia,0.0,0.0,0.0,390.0,210.0,0.0,919.0,6774.0,9422.7,1564768.6,9805.1,35200.2,69319.25
Austria,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1000.0,6171.6,53.0,3.25
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244297.8,3979.4,9249.9,0.0
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,120.3,0.0,0.0,170.0,2050.0,3265.0,0.0
Bangladesh,0.0,0.0,2500.0,0.0,0.0,0.0,3626622.8,5634981.0,16554406.0,8187303.0,7213937.0,3949741.0,4566757.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,533.7,0.0,288.1,250.0,869.75
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6339.0,182.0,14349.4,105.0
Belgium,0.0,0.0,600.0,0.0,0.0,35.0,10.0,60.0,103.0,258.0,261.2,76.1,25487.5
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,0.0,6260.0,15057.0,3035.5,58037.5
Benin,0.0,0.0,0.0,0.0,0.0,0.0,11500.0,720.0,323900.0,83419.6,28957.6,92733.4,28962.5
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6560.0,101.2,2001.6,125.5
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,3280.0,28600.0,351152.4,75478.3,159157.7,271017.5,260569.5
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,36680.8,104661.6,69768.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,8860.0,104930.7,10550.0,14879.2,4968.5,0.0
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,482598.6,1790307.1,2969320.0,1034124.3,659972.6,4421567.5,479771.25
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,306.0,637.3,1404.3,4739.7,2865.5
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,97500.0,44290.0,148539.6,276435.0,31514.3,708045.8,1632845.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,68081.0,250490.6,8643.7,22340.75
Cambodia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788937.9,837232.6,671109.0,238739.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1143.7,19111.0,3739.6,36077.0,642218.5
Canada,4.1,292.2,1100.0,2500.0,0.0,10900.6,2.2,184.0,7035.0,7800.4,1924.3,30874.4,31484.5
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.2,1630.6,3015.0,7250.0,17773.25
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,185.0,7661.8,7307.2,10520.5,593413.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,10.0,154919.8,91120.6,357627.3,424547.0,885426.25
Chile,0.0,0.0,0.0,5850.0,20.8,9.0,252335.6,250177.3,210440.2,33541.8,76443.0,417453.4,18482.0
China,1000.0,363511.2,2013539.4,1370072.6,10867.0,1015373.3,5589.5,1775347.6,23598502.0,125194510.0,118201416.0,54650530.0,10305261.0
Colombia,0.0,0.0,0.0,0.0,0.0,4004.6,11158.3,523193.6,58147.6,192571.5,557438.7,484758.7,164937.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,11505.2,20.0,28680.0,42995.9,0.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,66.8,0.0,0.0,7850.0,8500.0,22261.4,69332.75
Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,90.0,135.2,220.2,0.0
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,2547.4,8898.5,14688.5,102385.1,46933.6,27489.2,131250.0
Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,1245.6,4629.6,7562.25
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,227.6,1704.2,58656.5
Cuba,0.0,0.0,0.0,50.0,30.0,0.0,17403.0,1817.8,100547.8,253480.4,983922.7,1056206.8,807978.25
Cyprus,0.0,0.0,0.0,0.0,0.0,260.0,310.0,0.0,0.0,196.5,44.0,0.0,37.5
Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10216.7,21878.0,130140.0,955.75
Czechoslovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
Democratic Republic of Congo,0.0,0.0,0.0,0.0,0.0,0.0,436.8,56000.0,30014.8,14136.7,26954.0,76892.4,6700857.0
Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19700.0,50730.0,34077.5,63275.0,47525.8,75542.0
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7210.0,1071.0,571.6,763.0,10022.7,0.0
Dominican Republic,0.0,0.0,0.0,1200.0,0.0,0.0,25294.2,155500.0,134404.5,102442.5,30026.9,303314.3,459808.0
East Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Timor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.5,12200.3,38200.25
Ecuador,0.0,0.0,0.0,0.0,10000.0,0.0,67050.0,31611.8,109684.6,42741.7,103626.7,147384.7,107621.5
Egypt,0.0,0.0,0.0,0.0,0.0,2.8,55.1,8100.0,1.1,25720.6,196.4,3631.3,6658.75
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,14436.0,0.0,90956.0,10095.0,218264.4,149205.1,40009.5
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391567.5,170701.3,0.0,0.0
Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Eswatini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63250.0,25000.0,166368.5,72440.0,264.5
Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,321658.5,308700.0,2134524.0,673519.5,2903306.0,1708178.0,8158671.0
Europe,31637.2,66.9,500600.0,3589.7,6062.5,65452.5,223819.6,419658.3,666324.7,1679322.2,932500.7,516000.2,284282.0
European Union (27),17372.0,66.9,600.0,3264.1,6051.5,65452.5,147587.0,386856.4,143910.6,1177428.8,130371.8,253943.4,154603.25
Fiji,0.0,0.0,0.0,0.0,0.0,80.0,2800.0,18505.0,62546.5,43673.0,5136.2,86658.4,89357.5
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
France,0.0,0.0,0.0,0.0,0.0,0.0,110.0,2603.9,649.3,352688.2,6203.6,52883.4,19397.5
French Guiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.5,0.0,34.75
French Polynesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,51.1,0.0,841.5,0.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,80.0,8137.5,750.0
Gambia,0.0,0.0,0.0,0.0,0.0,0.0,33000.0,500.0,50000.0,3600.0,3201.4,56846.2,8537.5
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,72655.2,16308.7,90528.25
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23674.0,33232.4,698.9,409.75
Ghana,0.0,0.0,0.0,763.0,0.0,0.0,2500.0,1200.0,1250430.0,302460.2,69637.0,126733.2,1444.0
Greece,162.0,0.0,0.0,2264.1,4639.5,16815.9,8082.7,60170.0,12687.9,15199.5,2433.8,8979.1,22161.75
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,6007.5,0.0,0.0
Guadeloupe,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,7500.3,1108.4,89.9,15.3,8000.2,0.0
Guam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2,1203.3,1544.4,0.0,0.0
Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,499604.0,12485.6,15027.9,342174.2,757823.6,1889863.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4643.6,606.6,28686.2,11268.2,48953.25
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.3,322.2,13375.0,6833.3,0.0
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,64520.0,40977.4,20227.4,8750.0
Haiti,0.0,0.0,0.0,0.0,0.0,25000.0,35809.8,99811.0,232066.1,260423.4,115657.7,1108341.4,249862.75
High-income countries,29013.8,940.5,31068.9,41757.3,301423.1,643029.6,1237078.2,831689.0,653761.1,3483529.2,2896535.5,10370204.0,545411.75
Honduras,0.0,0.0,0.0,0.0,0.0,0.0,11400.2,96250.0,6663.7,286097.0,119728.5,313572.2,1349686.0
Hong Kong,0.0,0.0,0.0,0.0,0.0,11.1,4231.0,5290.8,2218.3,839.9,409.0,1545.6,43.75
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13369.5,4662.3,22644.5,0.0
Iceland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.6,28.0,8.3,19.9,0.0,0.0
India,0.0,0.0,104201.0,0.0,3200.0,252521.9,11753597.0,34372424.0,59307024.0,31496658.0,61048550.0,47262224.0,6650067.0
Indonesia,0.0,2.0,1130.0,993.5,1609.6,341.1,149720.3,475079.7,209845.6,703907.4,1164035.8,716058.4,5967347.0
Iran,0.0,0.0,112.1,0.0,600.0,1598.4,86052.0,51529.4,135556.3,3894037.5,238098.4,1082601.5,1487765.8
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,91000.0,0.0,0.0,50.0,7151.0,10383.5,1754300.8
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,50.0,90.0,0.0
Isle of Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,124.0,41.0,208335.9,5.25
Italy,17210.0,66.9,0.0,1000.0,1400.0,18296.6,138856.3,156868.5,45496.0,7270.3,12896.5,7895.6,15152.25
Jamaica,9000.0,9482.0,130.0,0.0,400.0,2020.0,10000.0,25251.0,90630.9,55651.2,42941.0,43990.1,0.0
Japan,312.9,318.6,29327.2,2761.1,294222.0,565328.5,438829.6,39914.3,60250.5,110397.9,164000.8,344689.6,84704.75
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,629.2,0.0,2.9,19800.0,15023.7,6.4,0.0
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63800.0,8080.6,8237.9,26075.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,27500.0,22600.0,60300.0,2940120.0,1090812.2,1708427.2,1417399.2
Kiribati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,8400.0,8.5,172.0,0.0
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20426.4,202952.8,4123.5,3462.5
Laos,0.0,0.0,0.0,0.0,0.0,0.0,8160.0,407400.0,73200.0,286086.2,138607.7,237201.6,34829.0
Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
Lebanon,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,150.0,10407.5,1751.5,101270.1,256050.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,20400.0,0.0,68000.0,33170.0,98150.1,187511.5,192137.5
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100700.0,2142.4,3091.7,0.0
Libya,0.0,0.0,0.0,0.0,0.0,0.0,537.5,0.0,0.0,0.0,0.0,2203.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78000.0,0.0,0.0,0.0
Low-income countries,0.0,3200.0,0.0,0.0,0.0,200.0,641601.8,2025363.2,5919021.5,6956657.5,10739660.0,15164642.0,41357520.0
