Entity,Code,Year,Cold Daily Lows (NOAA),9-year average (Cold Daily Lows)
United States,USA,1911,4,14.5300781
United States,USA,1912,40.2,19.0210938
United States,USA,1913,28.6,18.4308594
United States,USA,1914,1.5,14.8503906
United States,USA,1915,3.7,15.0484375
United States,USA,1916,10.2,21.9835938
United States,USA,1917,47.9,30.2085938
United States,USA,1918,57.5,31.8707031
United States,USA,1919,10.6,25.7628906
United States,USA,1920,18.4,17.50625
United States,USA,1921,1,11.9425781
United States,USA,1922,18,9.1335938
United States,USA,1923,4.4,7.2671875
United States,USA,1924,1.4,5.6511719
United States,USA,1925,9.8,4.46875
United States,USA,1926,0.7,4.5632813
United States,USA,1927,0.2,7.4652344
United States,USA,1928,1.9,12.6039063
United States,USA,1929,51.4,15.9503906
United States,USA,1930,2.4,15.3152344
United States,USA,1931,3.1,13.9085938
United States,USA,1932,12.6,14.7207031
United States,USA,1933,35.9,16.5746094
United States,USA,1934,5.2,19.015625
United States,USA,1935,2.2,23.6160156
United States,USA,1936,59,27.7863281
United States,USA,1937,42.3,26.0285156
United States,USA,1938,0,18.8570313
United States,USA,1939,3,12.1722656
United States,USA,1940,21.9,8.4949219
United States,USA,1941,0,5.9265625
United States,USA,1942,2.6,3.4660156
United States,USA,1943,0.3,1.9914063
United States,USA,1944,1.1,1.928125
United States,USA,1945,1.7,2.9171875
United States,USA,1946,6.9,5.1019531
United States,USA,1947,0.6,9.2496094
United States,USA,1948,11.9,14.5757813
United States,USA,1949,38.6,17.5898438
United States,USA,1950,16.5,15.5871094
United States,USA,1951,3.6,10.2667969
United States,USA,1952,4.5,5.7066406
United States,USA,1953,0.1,4.2054688
United States,USA,1954,0.4,5.1429688
United States,USA,1955,17.7,6.4582031
United States,USA,1956,3.2,7.0136719
United States,USA,1957,2.6,7.4921875
United States,USA,1958,10.1,8.4164063
United States,USA,1959,16.7,8.9902344
United States,USA,1960,1.8,9.3539063
United States,USA,1961,10.3,11.9070313
United States,USA,1962,2.4,17.9089844
United States,USA,1963,42.4,23.7027344
United States,USA,1964,43.4,23.6796875
United States,USA,1965,6.6,17.3660156
United States,USA,1966,3.4,10.0953125
United States,USA,1967,3.6,6.5742188
United States,USA,1968,4.6,7.0082031
United States,USA,1969,8.6,8.7421875
United States,USA,1970,20.8,9.2121094
United States,USA,1971,1.4,7.9359375
United States,USA,1972,3.9,6.2410156
United States,USA,1973,8.6,5.1914063
United States,USA,1974,3.3,5.5839844
United States,USA,1975,2,9.7839844
United States,USA,1976,0.5,19.9332031
United States,USA,1977,49.6,32.9117188
United States,USA,1978,52.9,40.346875
United States,USA,1979,66.5,36.6382813
United States,USA,1980,0,25.3539063
United States,USA,1981,10,15.003125
United States,USA,1982,10.9,10.3453125
United States,USA,1983,0,10.1066406
United States,USA,1984,22.9,10.4914063
United States,USA,1985,12.4,8.8453125
United States,USA,1986,0.1,5.5910156
United States,USA,1987,0,3.1421875
United States,USA,1988,0.4,2.6695313
United States,USA,1989,8,3.0667969
United States,USA,1990,2.6,3.0941406
United States,USA,1991,1.2,2.9953125
United States,USA,1992,0.1,3.4292969
United States,USA,1993,9.5,3.9164063
United States,USA,1994,4.8,3.4601563
United States,USA,1995,0,2.11875
United States,USA,1996,0.1,0.8496094
United States,USA,1997,0,0.2160156
United States,USA,1998,0,0.0863281
United States,USA,1999,0,0.2039063
United States,USA,2000,0,0.4117188
United States,USA,2001,1.8,0.5390625
United States,USA,2002,0.1,0.4757813
United States,USA,2003,0.2,0.296875
United States,USA,2004,0.1,0.1511719
United States,USA,2005,0,0.1011719
United States,USA,2006,0,0.1425781
United States,USA,2007,0.4,0.3480469
United States,USA,2008,0.1,0.9097656
United States,USA,2009,0.1,1.8214844
United States,USA,2010,6,2.6539063
United States,USA,2011,3.7,3.2972656
United States,USA,2012,0.2,4.5207031
United States,USA,2013,1.3,6.4535156
United States,USA,2014,24.6,7.35625
United States,USA,2015,0.7,5.8449219
United States,USA,2016,0,3.1039063
United States,USA,2017,1,1.1238281
United States,USA,2018,0,0.3367188
United States,USA,2019,0,0.1121094
United States,USA,2020,0,0.03125